Name,Year,Popularity,Name,Year,Popularity,diff
Darby,1980,5380,Darby,2009,3200,-2180
Briseida,1980,5371,Briseida,2009,3193,-2178
Deondre,1980,5713,Deondre,2009,3536,-2177
Taj,1980,4279,Taj,2009,2114,-2165
Skyler,1980,2502,Skyler,2009,343,-2159
Natali,1980,4450,Natali,2009,2292,-2158
Veronika,1980,5682,Veronika,2009,3526,-2156
Jamia,1980,5036,Jamia,2009,2881,-2155
Leela,1980,5112,Leela,2009,2957,-2155
Lucian,1980,3423,Lucian,2009,1276,-2147
Tamia,1980,3453,Tamia,2009,1306,-2147
Eliana,1980,2551,Eliana,2009,408,-2143
Fiona,1980,2761,Fiona,2009,620,-2141
Gemma,1980,3189,Gemma,2009,1061,-2128
Lincoln,1980,2472,Lincoln,2009,346,-2126
Lilliana,1980,2863,Lilliana,2009,739,-2124
Piper,1980,2446,Piper,2009,324,-2122
Aubrie,1980,2959,Aubrie,2009,838,-2121
Truman,1980,4476,Truman,2009,2357,-2119
Maximiliano,1980,3121,Maximiliano,2009,1003,-2118
Madelyn,1980,2273,Madelyn,2009,157,-2116
Santino,1980,3564,Santino,2009,1466,-2098
Massimo,1980,4887,Massimo,2009,2795,-2092
Leigha,1980,3883,Leigha,2009,1797,-2086
Karol,1980,5211,Karol,2009,3130,-2081
Angus,1980,5264,Angus,2009,3184,-2080
Phoebe,1980,2713,Phoebe,2009,635,-2078
Jaci,1980,4762,Jaci,2009,2686,-2076
Luciana,1980,3320,Luciana,2009,1251,-2069
Raegan,1980,2801,Raegan,2009,738,-2063
Jace,1980,2362,Jace,2009,305,-2057
Keegan,1980,2466,Keegan,2009,415,-2051
Anjali,1980,3933,Anjali,2009,1888,-2045
Mariella,1980,4249,Mariella,2009,2217,-2032
Keziah,1980,4914,Keziah,2009,2889,-2025
Kelton,1980,4338,Kelton,2009,2325,-2013
Amaris,1980,3863,Amaris,2009,1852,-2011
Dandre,1980,4553,Dandre,2009,2549,-2004
Ava,1980,2019,Ava,2009,18,-2001
Alessandra,1980,2908,Alessandra,2009,907,-2001
Kieran,1980,3045,Kieran,2009,1056,-1989
Jazmine,1980,2442,Jazmine,2009,470,-1972
Kendal,1980,3434,Kendal,2009,1467,-1967
Zoe,1980,2094,Zoe,2009,133,-1961
Justyn,1980,5076,Justyn,2009,3122,-1954
Karli,1980,3724,Karli,2009,1784,-1940
Ulisses,1980,5783,Ulisses,2009,3844,-1939
Valeria,1980,2108,Valeria,2009,175,-1933
Arianna,1980,2077,Arianna,2009,145,-1932
Karon,1980,4881,Karon,2009,2951,-1930
Ivana,1980,4199,Ivana,2009,2271,-1928
Desean,1980,4793,Desean,2009,2873,-1920
Neva,1980,5631,Neva,2009,3721,-1910
Remy,1980,3545,Remy,2009,1636,-1909
Myles,1980,2427,Myles,2009,520,-1907
Cade,1980,2558,Cade,2009,658,-1900
Quadir,1980,5182,Quadir,2009,3284,-1898
Nailah,1980,4524,Nailah,2009,2632,-1892
Malina,1980,4512,Malina,2009,2621,-1891
Anderson,1980,2470,Anderson,2009,582,-1888
Thalia,1980,3560,Thalia,2009,1672,-1888
Penelope,1980,2402,Penelope,2009,521,-1881
Kodi,1980,5411,Kodi,2009,3543,-1868
Annika,1980,2687,Annika,2009,821,-1866
Koby,1980,4722,Koby,2009,2856,-1866
Ibrahim,1980,3050,Ibrahim,2009,1191,-1859
Liam,1980,1917,Liam,2009,67,-1850
Nathalie,1980,2778,Nathalie,2009,933,-1845
Emiliano,1980,2374,Emiliano,2009,531,-1843
Justus,1980,3521,Justus,2009,1681,-1840
Hana,1980,3382,Hana,2009,1546,-1836
Nova,1980,3726,Nova,2009,1891,-1835
Mckinley,1980,3164,Mckinley,2009,1339,-1825
Alessandro,1980,3211,Alessandro,2009,1392,-1819
Parker,1980,1942,Parker,2009,131,-1811
Priscila,1980,4009,Priscila,2009,2201,-1808
Misael,1980,3411,Misael,2009,1615,-1796
Natalee,1980,2765,Natalee,2009,970,-1795
Laina,1980,5593,Laina,2009,3799,-1794
Celine,1980,3661,Celine,2009,1869,-1792
Danika,1980,2685,Danika,2009,895,-1790
Lilian,1980,2623,Lilian,2009,834,-1789
Vania,1980,5680,Vania,2009,3893,-1787
Orion,1980,2874,Orion,2009,1093,-1781
Amira,1980,2692,Amira,2009,912,-1780
Keyonna,1980,5087,Keyonna,2009,3310,-1777
Valentina,1980,2208,Valentina,2009,437,-1771
Isha,1980,4021,Isha,2009,2259,-1762
Madelin,1980,5113,Madelin,2009,3351,-1762
Gian,1980,4558,Gian,2009,2803,-1755
Tatum,1980,2496,Tatum,2009,742,-1754
Gabriella,1980,1855,Gabriella,2009,104,-1751
Gracie,1980,2003,Gracie,2009,258,-1745
Mika,1980,4520,Mika,2009,2775,-1745
Kimber,1980,3685,Kimber,2009,1945,-1740
Nalani,1980,4282,Nalani,2009,2544,-1738
Sydney,1980,1872,Sydney,2009,138,-1734
Talya,1980,5670,Talya,2009,3942,-1728
Kaleb,1980,1915,Kaleb,2009,188,-1727
Kelsi,1980,4446,Kelsi,2009,2719,-1727
Zechariah,1980,3213,Zechariah,2009,1487,-1726
Naima,1980,3558,Naima,2009,1837,-1721
Andrei,1980,4695,Andrei,2009,2975,-1720
Noam,1980,5293,Noam,2009,3573,-1720
Kalen,1980,4564,Kalen,2009,2845,-1719
Yana,1980,5345,Yana,2009,3630,-1715
Ciara,1980,2419,Ciara,2009,709,-1710
Rania,1980,4844,Rania,2009,3134,-1710
Adonis,1980,3347,Adonis,2009,1640,-1707
Mina,1980,3228,Mina,2009,1522,-1706
Cambria,1980,3535,Cambria,2009,1830,-1705
Destini,1980,3548,Destini,2009,1851,-1697
